x,y,yaw,velocity
-10.0814471,2.2019264,-1.62648,6.8988069
-9.9817355,2.195978,-1.6342218,6.974699
-9.8820717,2.1892758,-1.6416062,7.0497648
-9.7824586,2.1818548,-1.648655,7.1240305
-9.6828989,2.1737475,-1.6553908,7.1975208
-9.5833948,2.1649844,-1.6618364,7.2702592
-9.4839477,2.1555936,-1.668015,7.3422681
-9.3845593,2.1456009,-1.6739503,7.4135688
-9.2852307,2.1350295,-1.6796658,7.4841814
-9.185963,2.1239005,-1.6851854,7.5541253
-9.0867571,2.1122325,-1.690533,7.623419
-8.9876141,2.1000417,-1.6957325,7.6920798
-8.888535,2.0873419,-1.7008075,7.7601247
-8.7895209,2.0741447,-1.7057818,7.8275698
-8.6905731,2.0604591,-1.7106787,7.8944303
-8.591693,2.046292,-1.7155213,7.9607211
-8.4928824,2.031648,-1.7203324,8.0
-8.3941432,2.0165293,-1.7251344,8.0
-8.2954778,2.0009363,-1.7299491,8.0
-8.1968888,1.9848668,-1.734798,8.0
-8.0983792,1.968317,-1.7397018,8.0
-7.9999526,1.9512808,-1.7446807,8.0
-7.9016128,1.9337502,-1.7497539,8.0
-7.8033641,1.9157155,-1.7549398,8.0
-7.7052115,1.8971654,-1.760256,8.0
-7.6071603,1.8780866,-1.7657188,8.0
-7.5092163,1.8584647,-1.7713433,8.0
-7.4113861,1.8382838,-1.7771432,8.0
-7.3136765,1.8175267,-1.7831307,8.0
-7.2160952,1.7961754,-1.7893163,8.0
-7.1186502,1.774211,-1.7957083,8.0
-7.02135,1.7516138,-1.802313,8.0
-6.9242039,1.7283641,-1.8091344,8.0
-6.8272214,1.7044417,-1.8161735,8.0
-6.7304125,1.6798267,-1.8234288,8.0
-6.6337876,1.6544999,-1.8308952,8.0
-6.5373573,1.6284424,-1.8385644,8.0
-6.4411323,1.601637,-1.8464245,8.0
-6.3451237,1.5740676,-1.8544594,8.0
-6.249342,1.5457201,-1.8626492,8.0
-6.1537978,1.5165827,-1.8709694,8.0
-6.0585009,1.4866463,-1.8793912,8.0
-5.9634608,1.4559049,-1.8878813,8.0
-5.8686856,1.424356,-1.8964018,8.0
-5.7741826,1.3920009,-1.9049104,8.0
-5.6799574,1.3588452,-1.9133603,8.0
-5.5860138,1.3248993,-1.9217007,8.0
-5.4923537,1.2901782,-1.9298767,8.0
-5.3989766,1.2547023,-1.93783,8.0
-5.3058794,1.2184975,-1.945499,8.0
-5.2130559,1.1815953,-1.9528197,8.0
-5.120497,1.1440331,-1.9597254,8.0
-5.0281902,1.1058542,-1.966148,8.0
-4.9361196,1.0671079,-1.972018,8.0
-4.8442654,1.0278497,-1.9772652,8.0
-4.7526045,0.988141,-1.9818192,8.0
-4.6611156,0.948052,-1.9856094,8.0
-4.5697628,0.907654,-1.9885662,8.0
-4.4785115,0.8670267,-1.9906204,8.0
-4.387324,0.8262557,-1.9917037,8.0
-4.2961595,0.7854325,-1.9917491,8.0
-4.2049739,0.7446548,-1.9906903,8.0
-4.1137211,0.7040262,-1.9884624,8.0
-4.0223527,0.6636567,-1.9850015,8.0
-3.9308189,0.6236621,-1.9802447,8.0
-3.8390685,0.584165,-1.97413,8.0
-3.7470509,0.5452943,-1.9665976,8.0
-3.6547141,0.5071856,-1.9575822,8.0
-3.5620075,0.4699796,-1.947077,8.0
-3.4688918,0.4338137,-1.9352856,8.0
-3.3753489,0.3987759,-1.923049,8.0
-3.2813826,0.3648908,-1.9107306,8.0
-3.1870059,0.3321652,-1.8984293,8.0
-3.0922345,0.3006006,-1.8861856,8.0
-2.9970848,0.2701949,-1.8740227,8.0
-2.9015733,0.2409441,-1.8619562,7.9873597
-2.8057171,0.2128428,-1.8499964,7.9326208
-2.7095343,0.1858848,-1.8381504,7.8752993
-2.6130418,0.1600627,-1.8264238,7.8152603
-2.5162547,0.1353679,-1.8148211,7.7523717
-2.4191889,0.1117915,-1.8033464,7.6865047
-2.3218603,0.089324,-1.7920027,7.6175306
-2.2242843,0.0679555,-1.7807928,7.5453198
-2.1264761,0.0476755,-1.7697186,7.4697398
-2.0284504,0.028473,-1.7587819,7.3906543
-1.9302216,0.0103369,-1.7479838,7.3079212
-1.8318033,-0.0067436,-1.7372805,7.2213621
-1.7332059,-0.0227606,-1.7262583,7.1365031
-1.634428,-0.0376243,-1.7137421,7.0619269
-1.5354591,-0.0511534,-1.6992199,6.9994448
-1.4362921,-0.0631406,-1.6826172,6.9493068
-1.3369295,-0.0733764,-1.663936,6.9118429
-1.237384,-0.0816513,-1.6431835,6.887453
-1.1376804,-0.087756,-1.6203737,6.8764581
-1.0378626,-0.0914923,-1.5957883,6.8760288
-0.9379897,-0.0927263,-1.5705827,6.8755995
-0.8381173,-0.0914698,-1.546004,6.877588
-0.7383035,-0.0878063,-1.5223757,6.8856329
